slope,aspect,slope_shape,lithology_grade,fault_distance_km,lineament_density,geomorphology_unit,lulc_class,twi,rainfall_24h_mm,rainfall_72h_antecedent_mm,rainfall_intensity_max_mm_h,soil_saturation_pct,pore_water_pressure_kpa,sar_coherence_loss,sar_backscatter_diff_db,ndvi_vegetation_loss,osm_road_distance_m,osm_settlement_distance_m,geotechnical_fs,landslide_occurrence,risk_severity
14.61,278.42,0.35,2,0.05,3.497,2,1,7.06,143.05,391.89,12.45,100.0,70.54,0.895,0.01,0.054,258.9,836.9,0.942,0,HIGH
18.69,18.74,-0.043,4,4.345,1.331,1,2,6.47,61.81,154.05,5.04,95.94,26.6,0.532,-0.76,0.068,615.2,1218.7,1.126,0,MODERATE
41.62,13.74,-0.423,2,2.913,2.705,1,0,5.89,42.8,133.2,8.97,88.22,26.29,0.653,-1.73,0.229,60.6,704.3,0.622,1,CRITICAL
13.3,154.73,-0.521,3,9.707,0.542,3,2,11.97,128.26,232.02,12.86,100.0,57.15,0.91,-1.55,0.093,259.3,591.3,1.024,0,HIGH
61.06,22.71,0.017,2,3.157,4.077,1,1,8.57,17.87,84.85,2.68,77.58,11.85,0.684,-3.04,0.117,167.1,198.2,0.652,1,CRITICAL
31.04,284.09,0.4,3,17.295,0.338,1,2,7.65,33.07,101.57,6.32,81.27,14.86,0.408,-4.07,0.099,10.4,186.0,1.329,0,MODERATE
27.73,190.64,0.395,4,6.73,1.897,2,3,6.45,46.06,144.71,9.67,92.92,24.2,0.57,-0.84,0.393,276.4,1029.0,0.742,1,CRITICAL
22.72,10.45,0.039,2,10.746,2.301,2,3,9.95,3.29,68.91,0.36,74.96,9.3,0.31,-0.69,0.218,240.4,89.1,2.131,0,LOW
20.39,14.58,0.703,4,1.389,3.341,3,2,6.3,75.83,215.92,8.53,100.0,38.87,0.599,-1.93,0.196,12.8,19.6,0.747,0,HIGH
15.92,220.56,-0.037,4,0.566,0.597,2,0,7.77,13.58,54.53,1.43,66.43,6.52,0.21,-3.62,0.055,65.2,460.4,1.971,0,LOW
9.11,290.2,-0.048,1,5.579,1.907,2,2,12.35,26.34,118.85,2.69,95.26,20.38,0.285,-5.49,0.206,95.7,185.2,4.26,0,LOW
13.59,157.61,-0.899,4,5.399,1.329,1,2,5.39,34.79,124.07,5.0,84.41,23.03,0.268,-4.49,0.237,60.7,588.8,1.75,0,LOW
49.5,199.65,-0.157,2,0.831,1.379,2,2,8.69,66.14,195.92,11.18,100.0,43.2,0.737,-4.65,0.175,294.1,2693.9,0.466,1,CRITICAL
30.04,287.94,0.298,1,5.065,3.293,2,3,8.13,4.4,77.76,0.79,74.52,10.43,0.295,-6.39,0.226,212.3,110.0,1.584,0,LOW
49.27,219.78,0.547,3,3.053,0.122,1,1,8.66,27.09,116.8,3.41,87.97,18.49,0.567,-0.55,0.06,128.1,173.4,0.626,1,CRITICAL
15.68,80.91,-0.291,2,0.406,3.171,2,2,6.87,20.85,70.57,3.49,69.96,11.39,0.374,-4.84,0.106,158.7,408.3,3.07,0,LOW
11.78,220.7,0.162,4,2.439,3.423,1,0,6.2,0.1,47.41,0.01,61.32,5.23,0.187,-4.56,0.138,948.5,491.9,2.751,0,LOW
22.59,226.18,0.366,1,9.365,3.796,2,1,8.0,76.47,239.37,15.63,100.0,43.09,0.681,-3.38,0.187,33.2,2251.1,0.72,1,CRITICAL
13.89,264.28,0.004,1,2.472,2.67,1,1,6.5,17.49,52.77,3.53,63.58,6.04,0.309,-3.82,0.106,58.0,308.1,3.914,0,LOW
25.21,223.51,-0.799,3,5.441,1.467,1,1,2.5,11.83,49.73,1.85,55.41,6.38,0.284,-5.38,0.113,216.2,111.3,2.056,0,LOW
7.89,348.93,0.087,3,0.103,1.852,2,2,5.69,103.96,244.33,11.86,100.0,43.98,0.655,-6.95,0.27,1064.6,965.4,2.964,0,MODERATE
5.45,71.02,0.267,4,4.558,4.076,0,2,6.8,2.6,76.94,0.56,71.87,9.95,0.145,0.09,0.054,376.2,557.1,5.537,0,LOW
27.16,342.39,-0.332,2,10.27,3.713,0,2,5.13,149.82,438.11,28.99,100.0,95.0,0.98,-5.04,0.081,480.8,435.3,0.566,1,CRITICAL
50.21,193.8,-0.089,4,2.423,2.0,0,3,7.83,75.48,210.99,6.22,100.0,37.98,0.903,-6.49,0.246,369.5,900.6,0.202,1,CRITICAL
27.81,241.9,-0.404,5,1.442,3.967,0,2,5.83,12.25,99.54,1.79,77.35,15.33,0.43,2.19,0.132,22.8,35.7,0.921,1,HIGH
29.87,35.81,-0.9,3,3.641,3.474,0,3,7.4,28.01,130.76,2.64,90.17,24.58,0.498,-3.54,0.208,97.3,273.0,1.096,1,HIGH
23.13,137.01,0.359,4,8.68,3.794,2,2,12.27,194.7,547.41,19.18,100.0,95.0,0.98,-3.77,0.216,217.4,989.8,0.275,0,HIGH
24.34,276.98,-0.001,3,0.681,2.9,1,1,10.2,62.7,150.68,5.03,100.0,27.12,0.63,-2.72,0.08,17.9,38.9,1.287,0,MODERATE
8.81,254.49,0.559,1,1.81,3.616,2,1,8.8,60.99,136.44,10.75,94.5,23.21,0.449,-2.18,0.066,142.4,383.3,4.161,0,MODERATE
14.21,14.45,0.3,2,0.595,3.756,2,2,11.48,68.81,247.62,7.94,100.0,44.57,0.622,-2.52,0.122,66.0,167.4,1.405,1,HIGH
41.4,196.77,-0.124,1,2.403,0.477,2,2,7.34,40.38,109.4,4.95,83.22,21.23,0.572,-5.45,0.062,295.5,375.6,0.77,1,CRITICAL
11.15,31.78,-0.029,5,2.721,4.057,0,2,7.36,11.9,46.1,1.03,63.01,5.23,0.275,4.17,0.082,29.0,45.4,2.866,0,LOW
18.45,358.51,0.198,2,10.101,1.468,3,2,5.18,10.63,96.15,0.86,75.09,13.0,0.293,-3.31,0.208,432.3,350.6,2.493,0,LOW
40.97,323.03,0.338,4,1.862,1.904,3,3,10.31,75.57,143.69,14.43,99.54,25.75,0.763,-0.65,0.325,236.8,322.7,0.374,0,HIGH
23.98,7.59,0.113,2,2.929,3.347,0,0,11.81,139.99,378.69,24.16,100.0,68.16,0.98,-5.98,0.076,130.7,30.1,0.619,1,CRITICAL
24.65,309.11,0.387,4,7.578,2.826,2,2,9.5,23.2,102.33,3.1,84.84,15.63,0.399,-4.43,0.094,42.2,119.9,1.036,0,HIGH
18.53,330.99,-0.104,2,1.357,3.762,0,2,10.63,45.5,167.47,4.09,100.0,35.61,0.383,1.31,0.107,311.8,64.9,1.38,0,LOW
32.21,127.28,-0.349,4,3.925,1.742,0,0,2.5,315.8,657.3,59.56,100.0,95.0,0.98,-3.62,0.117,511.1,290.3,0.22,1,CRITICAL
36.35,259.02,-0.023,1,4.954,1.63,1,3,12.65,19.32,49.06,4.05,73.46,6.49,0.436,-0.45,0.229,527.6,150.0,1.404,1,HIGH
13.75,159.16,0.072,5,1.404,0.23,3,2,7.27,32.15,128.34,4.95,89.15,20.59,0.377,0.17,0.111,38.7,328.6,1.8,0,LOW
9.38,235.88,-0.421,4,0.628,1.997,2,1,12.68,29.37,99.88,2.92,89.79,19.67,0.315,-4.92,0.169,1099.1,373.2,2.69,0,LOW
6.26,122.51,-0.468,4,2.446,3.069,1,1,11.31,2.15,51.1,0.37,71.71,6.85,0.182,0.41,0.143,108.3,3.4,5.019,0,LOW
29.12,116.12,0.157,1,1.545,1.335,1,2,9.2,46.3,118.31,4.17,89.42,19.04,0.451,-0.5,0.291,77.2,917.4,1.279,0,MODERATE
27.37,152.8,-0.142,2,1.085,1.997,2,0,6.75,15.21,93.56,1.57,77.08,14.81,0.345,-0.41,0.072,129.7,71.7,1.571,0,LOW
68.0,52.4,-0.058,5,12.697,1.0,1,1,7.85,8.95,50.51,1.31,65.29,5.94,0.694,2.74,0.141,155.7,830.9,0.393,1,CRITICAL
23.2,299.21,-0.126,1,2.441,3.268,3,1,3.3,80.56,205.67,9.25,100.0,46.69,0.833,-8.51,0.289,246.5,353.1,0.706,1,CRITICAL
20.96,125.53,0.532,2,6.794,0.348,2,3,9.55,94.34,193.57,19.83,100.0,34.84,0.746,-3.53,0.208,223.4,116.8,1.216,0,MODERATE
25.67,144.05,0.442,3,0.761,2.992,2,2,2.5,142.82,304.18,27.6,100.0,54.75,0.98,-0.35,0.116,51.5,682.5,0.536,1,CRITICAL
26.42,321.86,-0.433,2,9.815,1.654,2,1,6.84,176.81,293.36,21.0,100.0,74.02,0.98,-7.52,0.383,91.7,466.6,0.577,1,CRITICAL
20.06,178.78,-0.186,2,5.537,0.271,3,3,10.9,132.15,428.88,28.4,100.0,93.06,0.892,-2.22,0.205,379.2,476.8,0.714,1,CRITICAL
14.02,195.93,0.298,3,5.789,3.599,2,3,9.09,8.49,52.14,1.13,68.04,6.39,0.276,-2.58,0.236,67.5,167.5,3.649,0,LOW
22.52,344.34,0.211,3,1.729,2.1,0,2,4.13,16.45,71.64,2.63,65.37,8.43,0.365,-1.31,0.057,330.8,231.9,2.193,0,LOW
22.05,319.22,-0.015,1,2.327,2.557,1,0,4.55,8.49,56.86,1.35,61.39,6.28,0.372,-4.01,0.121,396.3,345.6,2.452,0,LOW
21.86,61.01,-0.398,3,3.149,3.101,1,2,6.19,28.35,140.98,4.85,91.25,26.56,0.45,3.89,0.203,391.9,208.0,1.53,0,LOW
33.99,170.36,-0.239,3,5.458,2.786,3,1,7.67,8.61,80.24,0.98,74.49,11.79,0.391,-4.24,0.072,377.7,203.4,1.295,1,HIGH
22.3,349.67,-0.181,4,6.618,3.097,1,1,9.43,68.85,196.3,14.4,100.0,43.6,0.548,-2.9,0.068,84.1,835.9,0.57,0,HIGH
9.51,134.05,0.097,1,0.284,3.225,0,0,8.83,81.98,195.35,9.61,100.0,35.16,0.533,-3.49,0.11,153.3,1486.3,2.757,0,MODERATE
15.41,133.77,0.596,4,8.204,2.516,1,1,5.17,11.3,107.86,1.96,78.82,15.3,0.295,1.26,0.085,177.2,295.1,1.759,0,LOW
19.92,70.21,-0.24,3,9.704,1.599,1,1,8.86,63.16,128.59,11.82,92.1,28.9,0.573,-2.29,0.19,825.8,899.8,1.615,0,MODERATE
22.88,41.16,-0.359,3,3.145,1.097,2,2,9.1,1.51,63.99,0.31,71.85,8.46,0.292,-5.17,0.062,111.8,723.3,2.122,0,LOW
29.44,266.51,-0.038,2,0.724,3.802,1,0,8.57,37.04,110.71,5.33,85.86,17.11,0.533,-3.55,0.247,779.3,301.1,1.338,0,MODERATE
22.98,277.21,0.361,1,5.971,4.077,0,2,12.95,21.84,113.27,3.92,94.56,19.28,0.352,-7.04,0.183,578.9,488.2,1.642,0,LOW
5.54,348.84,-0.506,4,2.784,1.566,0,2,9.1,422.43,951.74,38.84,100.0,95.0,0.98,-9.47,0.051,405.5,30.4,1.034,1,CRITICAL
10.25,278.43,0.509,2,5.948,0.56,1,0,9.63,166.48,388.02,31.45,100.0,69.84,0.98,-0.08,0.076,325.6,463.3,1.313,0,MODERATE
30.51,87.61,-0.06,4,5.902,1.012,1,2,11.63,10.38,60.3,1.93,75.22,8.16,0.324,-1.91,0.246,191.8,125.8,0.942,0,HIGH
19.61,14.44,-0.257,5,0.318,2.85,3,0,9.37,162.07,326.19,22.28,100.0,78.16,0.98,-3.59,0.205,35.3,1248.8,0.29,1,CRITICAL
24.07,354.76,-0.56,3,3.269,0.809,1,2,6.29,35.27,159.81,4.37,97.46,32.27,0.488,0.85,0.104,186.5,495.8,1.162,0,MODERATE
18.23,122.56,0.247,3,2.31,3.299,0,1,10.23,55.87,191.61,7.44,100.0,34.49,0.56,-4.04,0.113,6.8,436.0,1.523,0,LOW
15.37,112.31,-0.06,2,10.223,3.884,2,2,6.62,49.6,210.54,4.6,100.0,37.9,0.431,0.56,0.057,188.0,1061.2,1.604,0,LOW
18.61,326.14,0.06,5,1.232,4.051,3,1,5.34,84.19,200.67,14.25,100.0,36.12,0.695,1.9,0.179,279.5,618.4,0.943,0,HIGH
24.23,210.64,-0.315,4,0.807,0.138,2,0,5.53,26.51,99.47,5.51,76.78,16.93,0.396,-6.17,0.056,144.1,244.0,1.051,1,HIGH
22.2,77.35,-0.112,4,7.959,4.028,1,0,10.21,4.69,58.85,0.81,72.21,8.21,0.257,1.55,0.133,37.6,697.1,1.344,0,MODERATE
36.22,320.07,-0.17,3,0.564,3.135,2,3,8.86,35.14,118.45,5.67,88.86,23.16,0.661,-5.61,0.21,333.5,1202.4,0.878,1,HIGH
8.34,357.61,-0.035,4,4.06,0.445,0,2,9.83,51.11,142.07,11.18,98.16,25.1,0.402,-4.16,0.095,516.8,1293.8,2.719,0,LOW
9.13,31.2,-0.234,4,1.248,1.802,3,3,8.88,52.62,156.87,8.2,100.0,34.55,0.362,0.58,0.236,287.2,129.3,2.049,0,LOW
19.48,310.41,-0.537,2,2.936,2.97,3,3,7.92,102.25,296.33,13.13,100.0,65.61,0.745,-2.44,0.243,242.7,358.0,0.731,1,CRITICAL
29.62,140.59,0.955,3,3.352,4.022,2,3,8.2,2.94,79.74,0.53,75.28,10.81,0.338,-2.41,0.269,154.2,712.6,1.535,0,LOW
33.03,188.67,-0.477,3,1.891,0.773,1,2,8.8,288.0,744.95,44.06,100.0,95.0,0.98,-1.38,0.062,312.2,1757.4,0.457,1,CRITICAL
15.73,329.33,0.064,1,12.906,0.624,0,0,6.17,303.12,861.92,65.5,100.0,95.0,0.98,-8.09,0.07,105.6,41.9,0.979,0,HIGH
3.02,350.42,-0.62,4,0.495,2.037,3,3,4.66,6.78,23.09,1.39,50.78,2.92,0.177,1.41,0.209,242.7,663.8,11.277,0,LOW
16.03,94.38,-0.699,1,1.738,4.069,2,0,6.43,27.41,115.04,5.83,83.39,20.56,0.418,-2.51,0.135,113.6,270.1,2.461,0,LOW
27.41,76.63,0.034,3,1.97,4.083,1,1,8.7,58.0,134.34,4.65,93.64,22.64,0.58,-1.22,0.054,269.1,831.6,1.261,0,MODERATE
21.98,28.99,0.061,2,3.49,1.034,0,3,6.07,30.38,130.9,3.85,87.82,20.69,0.442,-0.58,0.286,176.0,625.7,1.723,0,LOW
30.19,202.25,0.442,2,1.83,1.409,2,1,12.19,43.47,170.64,7.29,100.0,30.71,0.556,-1.87,0.339,72.8,269.7,0.843,1,CRITICAL
40.66,4.9,0.14,3,0.357,3.823,3,0,8.47,25.64,107.07,3.16,84.51,16.29,0.565,-5.26,0.226,88.4,1174.6,0.909,1,HIGH
20.25,148.28,-0.052,5,10.31,3.113,2,1,7.76,80.94,250.81,13.91,100.0,45.15,0.672,-2.13,0.082,363.9,206.1,0.673,0,HIGH
17.09,26.42,-0.332,3,1.883,4.086,0,3,6.17,29.42,92.91,5.3,75.83,16.21,0.391,-3.24,0.219,51.9,226.0,2.536,0,LOW
12.87,145.88,0.525,2,1.469,3.762,1,3,9.51,36.52,156.85,6.11,100.0,28.23,0.371,-3.08,0.458,96.0,635.7,2.51,0,LOW
9.09,14.38,0.325,4,2.072,0.982,0,2,4.83,55.76,153.2,8.04,92.72,25.57,0.453,-0.83,0.097,359.9,138.3,2.497,0,LOW
7.53,300.68,-0.436,2,0.854,3.215,3,3,8.19,226.22,450.11,40.16,100.0,95.0,0.98,-4.41,0.235,7.8,669.9,1.77,0,MODERATE
14.83,75.51,0.013,1,0.37,0.299,1,0,6.54,66.73,179.0,12.63,100.0,32.22,0.669,-4.42,0.061,5.0,720.2,1.868,0,MODERATE
37.81,118.19,0.05,1,0.563,3.453,2,0,7.77,6.63,64.34,1.18,69.57,8.06,0.466,-0.79,0.065,140.5,578.9,1.321,0,MODERATE
31.73,313.22,-0.121,1,0.638,2.566,0,1,8.57,24.96,73.15,4.83,73.83,12.72,0.479,-1.65,0.158,834.4,211.9,1.426,0,LOW
16.63,268.66,0.27,3,0.771,4.02,0,0,4.98,35.38,115.83,7.52,81.03,16.89,0.393,-4.06,0.068,13.6,285.6,2.546,0,LOW
61.36,78.85,0.291,3,1.906,4.036,2,1,3.82,87.6,238.39,8.27,100.0,42.91,0.98,-4.95,0.066,636.6,364.0,0.497,1,CRITICAL
15.45,25.88,-0.067,2,3.423,0.308,3,0,5.45,38.49,116.98,7.96,82.24,17.32,0.375,-3.93,0.081,232.2,61.7,2.733,0,LOW
42.66,257.64,-0.098,4,3.469,0.758,1,1,9.43,69.95,205.6,8.27,100.0,37.01,0.727,-2.63,0.246,29.1,208.0,0.199,1,CRITICAL
47.86,140.65,0.525,1,0.05,2.085,1,0,8.32,118.91,254.99,18.9,100.0,45.9,0.98,-4.34,0.121,496.9,80.3,0.514,1,CRITICAL
28.4,275.79,0.326,5,8.882,3.706,2,0,6.61,7.16,32.45,1.52,57.29,3.35,0.428,-0.82,0.169,13.2,145.7,1.12,0,MODERATE
14.75,160.31,0.025,3,6.058,3.439,2,3,11.83,94.34,162.66,15.74,100.0,29.28,0.752,-5.29,0.302,201.3,1040.1,2.174,0,MODERATE
17.92,124.56,-0.57,1,11.629,4.054,2,0,10.33,88.97,217.33,8.17,100.0,49.8,0.696,-3.41,0.289,269.8,26.1,0.873,1,HIGH
24.55,162.43,0.12,5,1.562,2.634,0,0,9.8,111.36,275.65,16.69,100.0,49.62,0.825,-3.67,0.144,317.7,363.3,0.435,1,CRITICAL
9.26,269.48,0.244,2,3.826,1.152,2,0,5.91,203.13,392.03,41.68,100.0,70.56,0.98,-4.45,0.061,75.3,257.0,1.447,0,MODERATE
12.13,324.8,-0.964,3,0.644,0.203,3,2,9.77,24.08,79.88,3.32,78.15,14.13,0.42,1.99,0.068,87.5,497.7,3.709,0,LOW
11.52,17.92,0.088,2,5.945,1.014,3,2,8.25,36.43,114.95,7.24,86.63,17.93,0.37,0.76,0.147,528.6,1479.4,3.617,0,LOW
29.55,188.68,-0.146,4,0.616,2.869,2,2,5.91,19.81,59.36,3.79,64.64,9.28,0.453,-1.78,0.069,123.0,275.9,0.98,1,HIGH
40.46,11.82,-0.077,3,1.381,3.898,3,0,7.27,25.75,83.29,5.33,74.74,11.21,0.53,-5.7,0.19,209.9,316.8,1.069,1,HIGH
32.38,168.63,-0.318,1,2.362,1.416,0,1,5.22,26.01,60.49,3.04,63.75,10.06,0.494,-3.0,0.219,165.2,57.3,1.525,1,HIGH
37.03,318.7,-0.052,1,3.159,3.69,2,0,5.93,132.5,431.72,19.81,100.0,77.71,0.98,-1.55,0.093,55.7,1090.1,0.531,1,CRITICAL
14.01,130.17,0.487,4,2.871,1.719,2,1,4.98,4.22,61.52,0.54,63.66,7.05,0.324,-1.42,0.089,146.1,221.4,2.242,0,LOW
18.39,335.68,-0.156,2,0.377,1.364,0,2,9.6,14.72,69.67,2.28,74.58,11.12,0.316,-4.64,0.06,12.4,19.4,2.584,0,LOW
19.19,227.02,0.338,1,1.917,2.186,3,3,7.34,61.3,160.84,5.07,99.69,28.86,0.586,-2.94,0.422,45.7,339.6,1.541,0,MODERATE
28.34,336.3,-0.282,3,8.97,1.913,1,0,5.43,94.18,276.77,10.72,100.0,61.12,0.78,-4.26,0.103,500.4,838.1,0.5,1,CRITICAL
15.08,272.58,0.266,4,7.205,3.847,1,2,8.64,77.69,200.03,16.81,100.0,36.0,0.618,0.4,0.148,724.6,402.3,1.155,0,MODERATE
35.85,37.24,0.001,2,3.127,2.02,1,0,7.5,3.1,32.81,0.51,59.0,3.48,0.419,-2.72,0.064,6.0,410.8,1.524,1,HIGH
47.18,83.21,0.123,2,2.973,1.237,1,1,9.81,39.31,141.47,4.1,97.93,24.94,0.664,-0.95,0.112,108.5,9.8,0.472,1,CRITICAL
29.11,141.9,0.003,4,0.414,3.555,2,0,7.79,13.25,57.08,2.0,67.29,6.91,0.411,0.26,0.17,767.6,1586.7,1.03,0,HIGH
17.92,61.24,0.225,1,0.782,4.195,1,3,4.34,288.26,613.62,51.23,100.0,95.0,0.98,-10.06,0.273,356.0,234.3,0.873,1,CRITICAL
13.27,178.17,-0.899,4,1.019,2.758,0,0,6.41,442.34,1266.73,72.77,100.0,95.0,0.98,-11.91,0.088,5.0,68.8,0.445,1,CRITICAL
11.53,169.69,-0.497,5,2.344,1.127,3,2,4.95,3.4,53.7,0.51,61.1,6.31,0.212,-2.34,0.126,32.0,68.0,2.743,0,LOW
5.59,344.25,0.146,4,4.6,1.079,0,0,8.74,71.62,166.18,12.49,100.0,29.91,0.475,-2.29,0.483,374.1,496.4,3.723,0,MODERATE
19.52,156.14,-0.715,1,2.161,0.337,3,1,9.89,109.0,281.34,11.27,100.0,63.72,0.795,-4.87,0.142,319.1,254.2,0.811,1,CRITICAL
18.89,282.83,-0.186,2,0.472,0.417,1,1,4.1,25.53,134.4,3.61,85.39,23.72,0.444,-5.15,0.106,583.9,24.8,1.928,0,LOW
34.71,339.09,-0.019,1,2.025,3.851,2,0,7.23,76.89,244.69,14.23,100.0,44.04,0.757,-5.26,0.205,396.1,40.6,0.546,1,CRITICAL
15.67,315.72,-0.29,5,0.621,0.496,1,2,10.04,13.51,109.04,2.18,87.96,18.88,0.314,0.88,0.101,812.7,250.0,1.613,0,LOW
20.15,75.12,-0.242,5,4.868,2.086,2,2,4.07,8.9,90.41,1.84,71.26,12.66,0.327,3.8,0.098,219.3,714.5,1.392,0,LOW
25.88,178.57,0.095,2,0.637,2.962,2,0,6.54,168.63,473.98,23.97,100.0,85.32,0.98,-3.81,0.115,85.5,69.2,0.586,1,CRITICAL
28.86,125.19,0.353,4,2.306,3.586,3,2,7.5,66.87,163.19,6.59,100.0,29.37,0.61,0.16,0.081,39.4,54.4,0.604,1,CRITICAL
32.64,143.95,-0.335,4,4.138,0.802,1,1,9.85,110.37,315.81,9.58,100.0,70.09,0.861,-2.52,0.056,5.0,287.3,0.219,1,CRITICAL
24.5,129.89,-0.201,2,0.907,1.895,2,2,8.7,49.45,90.63,7.26,79.66,18.93,0.506,-0.44,0.088,37.4,334.5,1.625,0,LOW
9.62,297.49,-0.256,2,0.277,1.131,2,2,9.15,10.93,64.56,1.54,72.12,9.69,0.262,0.43,0.155,256.1,324.0,5.149,0,LOW
27.53,162.77,-0.847,1,2.9,1.149,3,0,8.83,30.72,76.89,3.56,75.49,14.14,0.487,-0.12,0.103,145.7,314.7,1.611,0,LOW
15.0,188.53,0.05,3,0.195,1.346,3,2,6.68,138.72,321.03,22.57,100.0,57.78,0.924,-3.09,0.204,440.1,992.6,0.848,1,CRITICAL
41.45,353.68,0.327,5,3.102,2.507,1,0,11.12,1.02,70.37,0.12,77.53,9.82,0.431,-0.86,0.066,111.5,224.2,0.62,1,CRITICAL
22.43,21.59,0.356,5,4.901,0.168,2,0,6.02,15.09,98.55,1.66,77.38,13.73,0.289,-2.52,0.07,123.4,15.4,1.206,0,MODERATE
25.3,175.66,-0.305,1,1.398,1.776,1,2,2.5,18.98,121.25,3.17,78.3,19.37,0.367,-0.27,0.133,268.7,4.5,1.563,0,LOW
68.0,278.66,-0.438,2,2.345,0.866,2,0,3.54,19.84,87.36,4.21,69.32,13.28,0.754,-0.82,0.187,776.3,232.4,0.843,1,CRITICAL
32.94,54.42,0.008,3,9.246,4.065,3,0,7.24,6.75,51.78,0.73,64.61,6.02,0.389,-3.6,0.145,250.3,1008.0,1.526,0,LOW
27.26,220.15,0.29,4,2.229,2.489,3,1,6.77,122.55,285.54,12.94,100.0,51.4,0.94,-0.68,0.097,73.4,559.7,0.279,1,CRITICAL
20.49,86.21,0.054,4,19.847,3.659,2,2,6.32,11.3,66.99,1.72,67.81,8.18,0.243,1.05,0.222,139.0,380.0,1.477,0,LOW
10.15,312.27,0.101,3,0.598,0.902,2,0,7.83,115.05,200.28,11.13,100.0,36.05,0.756,-3.02,0.14,718.0,544.5,2.788,0,MODERATE
19.66,117.76,0.4,3,4.32,3.421,1,1,10.14,28.51,147.54,3.45,100.0,26.56,0.295,1.17,0.194,454.4,82.4,1.675,0,LOW
13.17,118.46,-0.259,1,3.701,1.801,2,0,8.5,39.73,84.22,8.69,77.25,16.48,0.339,-0.18,0.237,9.7,160.0,3.341,0,LOW
50.15,215.35,-0.077,3,7.203,0.829,1,1,8.93,40.4,112.02,7.99,86.91,17.53,0.655,-3.11,0.11,82.0,704.0,0.633,1,CRITICAL
27.46,66.08,0.572,5,0.339,3.221,2,2,5.12,81.17,232.38,14.52,100.0,41.83,0.633,-7.36,0.121,259.3,4.9,0.476,1,CRITICAL
40.66,102.56,-0.069,1,1.151,3.224,0,1,6.36,85.42,229.72,7.14,100.0,41.35,0.812,-7.53,0.138,375.0,163.5,0.517,1,CRITICAL
15.41,149.99,-0.444,3,0.496,4.183,0,2,9.04,66.53,233.51,7.79,100.0,50.02,0.57,0.63,0.337,35.8,1359.6,1.16,1,HIGH
13.76,127.31,-0.234,2,9.466,3.302,2,2,7.74,96.6,265.4,15.43,100.0,59.36,0.751,-3.2,0.181,202.6,424.8,0.996,0,HIGH
31.26,188.96,-0.328,3,1.947,0.696,3,1,8.55,0.54,33.63,0.1,61.15,3.77,0.326,-2.14,0.053,231.4,591.7,1.685,0,LOW
12.85,215.87,0.125,3,8.43,1.422,2,1,8.85,45.68,143.83,7.93,96.96,25.1,0.398,-3.76,0.095,36.2,226.6,2.765,0,LOW
17.15,204.0,-0.314,3,1.221,1.952,2,2,7.87,48.26,159.3,5.11,100.0,34.47,0.472,-2.01,0.212,162.2,49.1,1.635,0,LOW
51.39,235.5,0.095,5,0.473,0.619,3,1,10.98,17.78,80.36,2.58,80.48,11.64,0.587,0.73,0.053,5.0,516.0,0.43,1,CRITICAL
17.55,110.79,-0.258,3,1.231,3.331,1,3,6.33,52.83,204.74,5.69,100.0,43.19,0.454,-4.29,0.28,336.6,248.5,1.25,0,MODERATE
8.78,45.51,-0.743,3,3.182,2.259,0,3,5.7,40.92,136.91,8.56,89.07,26.86,0.402,-1.78,0.432,22.3,69.9,4.067,0,LOW
6.67,273.89,0.107,1,6.53,3.972,3,2,3.62,41.53,118.78,6.56,79.52,17.0,0.346,4.61,0.08,44.3,1021.0,6.558,0,LOW
8.08,306.28,0.052,4,1.704,2.516,3,3,9.15,8.19,26.51,1.1,59.95,2.86,0.173,3.17,0.302,440.2,130.5,4.155,0,LOW
41.91,92.52,0.181,2,8.62,2.244,1,2,6.25,37.14,95.58,7.74,76.83,13.22,0.593,-7.52,0.08,149.5,192.8,0.988,1,HIGH
15.98,146.55,-0.236,4,0.98,0.393,1,0,10.29,94.53,253.63,19.53,100.0,57.0,0.818,-7.63,0.132,330.9,105.6,0.53,0,HIGH
68.0,179.48,-0.273,2,4.139,0.712,3,1,8.05,34.3,109.67,5.16,84.58,20.81,0.854,2.63,0.271,297.6,223.9,0.753,1,CRITICAL
47.46,192.0,0.141,1,4.658,3.583,2,0,6.75,43.45,141.43,7.65,92.42,23.53,0.68,0.17,0.087,45.7,425.2,0.548,1,CRITICAL
57.72,237.42,0.532,2,1.121,4.162,0,1,5.18,222.76,553.19,27.76,100.0,95.0,0.98,-5.53,0.308,51.9,104.4,0.509,1,CRITICAL
37.53,14.98,0.004,5,0.096,1.802,0,1,9.36,133.51,349.52,16.43,100.0,62.91,0.98,-2.55,0.089,301.4,200.1,0.19,1,CRITICAL
30.4,259.73,0.149,2,1.591,3.421,3,0,7.38,171.66,366.75,26.94,100.0,66.01,0.98,-5.42,0.09,76.2,6.1,0.527,1,CRITICAL
13.46,22.31,-0.113,1,0.162,2.673,0,1,8.09,5.26,69.39,1.04,71.76,9.59,0.219,-2.97,0.166,163.2,78.2,3.743,0,LOW
22.12,168.58,-0.54,1,8.086,4.032,1,1,8.83,62.65,186.58,10.25,100.0,41.1,0.533,-0.63,0.086,482.2,1068.4,0.815,0,HIGH
32.02,297.96,0.339,2,10.741,1.076,2,0,8.08,16.43,76.26,2.37,73.96,10.15,0.432,-1.77,0.082,89.6,454.0,1.456,1,HIGH
